SAP,NAME,ADDRESS,ZIPCODE,CITY,COUNTRY,PHONE,FAX,EMAIL,OBS,LINK
210001,GARVES-FERRAGENS FERRAMENT LDA,"LARGO JOAO VAZ, 9-1*-ESQ.",1700-251,LISBOA,PT,21 885 39 01,21 885 39 01,plopes@gulbenkian.pt,,
210002,MARIO MENDES LDA,"AV. MIGUEL BOMBARDA, 133 - 1º  ESQ",1050-164,LISBOA,PT,21 315 26 16,21 353 58 09,,,
210003,BUISSON LDA,RUA BRAAMCAMP 15 - D,1269-112,LISBOA,PT,21 351 13 90/92,21 356 03 20,mariajoao@multiviagens.pt,,
210004,TRANSP CENT CAMPO SANTANA LDA,"LARGO MITELO, 20",1100,LISBOA,PT,21 885 25 34,21 885 13 25,geral@tccsantana.com,,
210007,LIVRARIA FERIN LDA,"R. NOVA DO ALMADA, 70/74",1249-098,LISBOA,PT,21 342 44 22,21 347 11 01,assinaturas@ferin.pt,,
210008,DIAS & ANDRADE LDALIVRARIA PORTUGAL,"R CARMO, 70-74",1117,LISBOA,PT,21 347 49 82,21 347 02 64,encomendas@livrariaportugal.pt,,
210009,PRIMAX LDA,"R. DOS FANQUEIROS, 114, 1º",1100,LISBOA,PT,21 887 11 82,21 887 38 05,,,
210010,LIVRARIA BARATA,"AV.DE ROMA, 11-A",1000,LISBOA,PT,21 842 83 50,21 842 83 66,barata@livrariabarata.pt,,
210011,SATIS LDA,"AVENIDA DO FORTE, 4",1795-502,CARNAXIDE,PT,800 814 762,800 814 761,aten.cliente@ge.com,,
210013,AFROTECNICA LDA,"R. AQUILES MACHADO, 1-A",1900,LISBOA,PT,21 848 30 56,21 847 07 07,,,
210014,MICROMERCADO PEGO LAMEIRO,"R. DO COMERCIO, 21",2780,PORTO SALVO,PT,21 421 48 73,21 423 90 06,,não tem email,
210015,EXFA-SOC COM IND TURISMO,"AV CONDE VALBOM, 56 - 62",1050,LISBOA,PT,21 795 11 57/64,21 795 11 66,sanaexecutive@sanahotels.com,***,
210016,SERVILIMPE LDA,"R. MAJOR NEUTEL DE ABREU, 12",1500-411,LISBOA,PT,21 771 18 90,21 778 43 97,servilimpe.lisboa@serlima.pt,,
210017,CRIMOLARA-PROD QUIMICOS LDA,CONCEICAO DA ABOBODA,2775,ABOBODA,PT,21 781 89 40,21 781 89 69,geral@crimolara.pt,,
210018,SANTOS & GOUVEIA LDA,EDIF.CALEIDOSCOPIO-CAMPO GRANDE,1700-089,LISBOA,PT,21 757 50 55,21 757 24 91,servicos@escolareditora.com,CONTACTO SRA. D. ROSA CALDEIRA,
210019,DECOFLORALIA LDA,"R. CASTILHO, 185-C",1070-051,LISBOA,PT,21 387 24 54,21 387 30 33,betavalente@decofloralia.pt,,
210020,FOTO INDUSTRIAL,R.CONDE DE ALMOSTER 108,1500-198,LISBOA,PT,21 947 00 16,21 947 09 48,fotoindustrial@fotoindustrial.pt,,
210021,NOVIPAPEL,"R. DAS FONTAINHAS ,59",2700-391,VENDA NOVA-AMADORA,PT,21 499 91 01/2,21 499 91 09,joao.clemente@novipapel.com,,
210022,VERDASCA NUNES LDA,"AV JULIO DINIS, 2-D",1050-131,LISBOA,PT,21 795 83 40,21 797 7374,,,
210023,RANK XEROX PORTUGAL LDAEDIFICIO XEROX,AV INF. D HENRIQUE(EDIFICIO XEROX),1801-001,LISBOA,PT,21 040 04 00,21 040 04 01,nuno.figueiredo@xerox.com,Contacto directo- Sr.Nuno Figueiredo 210 400 623,
210024,MULTIMAC MAQ EQUIP ESCRIT LDA,R PALMIRA 30-A,1170-286,LISBOA,PT,21 814 24 20,21 816 13 62,sharp@multimac.pt,,
210025,SOV SERV OPERAC VIGILANCIA SA,"R. GARCIA DA ORTA, 51-53",1200-678,LISBOA,PT,21 393 44 00,21 393 44 93,ecardiga@sov.pt,,
210026,VEIGA & ANTUNES LDAMINERVA DO COMERCIO,"TRAV. OLIVEIRA À ESTRELA, 10",1000,LISBOA,PT,21 396 44 45,21 395 06 93,minerva@netcabo.pt,,
210029,SHELL PORTUGUESA SA.,"AV. LIBERDADE, 249",1250-149,LISBOA,PT,21 311 91 07,21 353 21 21,csc-euroshell@shell.com,SR. Marco Simões,
210030,OCS LIMPOTECNICA MULTISERVIÇOS,"RUA DOM JOAO V, 2A-1º",1250-090,LISBOA,PT,21 381 05 00,21 388 81 78,limpotecnica@limpotecnica.pt,VER NOTA,
210031,SOTECNICA-SOC ELECTROTEC SA,"ESTRA NACIONAL 115, km 78,67",2670-456,S.JULIÃO DO TOJAL -LOURES,PT,21 973 70 00,21 973 70 04,luisalm.aaf@sotecnica.pt,VER NOTA,
210032,AUTO ESTUFA SANPAR LDA,R D PEDRO V LT. J P,1675,SERRA DA LUZ,PT,21 478 41 83,21 478 41 83,,NÃO TEM EMAIL,
210033,"REAGENTE 5-QUIMICA E ELECTRONICA, L",RUA BERNARDIM RIBEIRO Nº2 A,2620-265,BONS DIAS - RAMADA,PT,21 933 88 01,219341416,reagente5.lisboa@gmail.com,,
