Manufacturer,Manufacturer_cat_no,Vendor,Description,price,quantity,units,link,category,vendor_cat_no,special_conditions,delivery_time,listprice,vat,class
Cedarlane Laboratories,CL7504F,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,Anti C4 Mouse FITC,202.74,1,100 ug,http://www.cedarlanelabs.com/International/..perc5CDataSheetsperc5CCL7504F.PDF,Antibodies/Primaries,007CL7504F,4 C/Room Temperature,5,218,23,labware-plastics-other
Cedarlane Laboratories,MC-301,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,MountClear,396.18,1,5 ml,,Antibodies/Antibodies SP,007MC-301,Undefined/To be defined,5,426,23,labware-plastics-other
Cedarlane Laboratories,IS-502,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,Immersion Solution-M,116.25,1,5 ml,,Antibodies/Antibodies SP,007IS-502,Undefined/To be defined,5,125,23,labware-plastics-other
Cedarlane Laboratories,FC-101,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,FocusClear,396.18,1,5 ml,,Antibodies/Antibodies SP,007FC-101,Undefined/To be defined,5,426,23,labware-plastics-other
Cedarlane Laboratories,MU12,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,Super PAP PEN,77.19,1,1 pen,http://www.cedarlanelabs.com/DataSheets/MU12.pdf,Antibodies/Antibodies SP,007MU12,Room Temp./Room Temperature,5,83,23,labware-plastics-other
Cedarlane Laboratories,CL76002K,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,AEC coloring system,153.45,1,10×96 Tests,,Antibodies/Antibodies SP,007CL76002K,Undefined/To be defined,5,165,23,labware-plastics-other
Cedarlane Laboratories,CL76003K,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,PHA,64.17,1,50 Tests,,Antibodies/Antibodies SP,007CL76003K,Undefined/To be defined,5,69,23,labware-plastics-other
Cedarlane Laboratories,CL76001K,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,Magi PVDF coating buffer,64.17,1,5×96 Tests,,Antibodies/Antibodies SP,007CL76001K,Undefined/To be defined,5,69,23,labware-plastics-other
Abnova,H00001969-AP51,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,EPHA2 (Human) Matched Antibody Pair,623.1,1,01-Set,,Antibodies/Primaries,157H00001969-AP51,-20 C/Room Temperature,5,670,23,labware-plastics-other
Abnova,H00283431-PW1,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,Anti GAS2L3 (Human) IP-WB Antibody Pair,623.1,1,,,Antibodies/Primaries,157H00283431-PW1,-20 C/Cool Pack,5,670,23,labware-plastics-other
Abnova,H00000309-B01,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,Anti ANXA6 Human Maxpab,288.3,1,50 ul,,Antibodies/Primaries,157H00000309-B01,-20 C/Cool Pack,5,310,23,labware-plastics-other
Abnova,H00000314-B01,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,Anti AOC2 Human MaxPAb,288.3,1,50 ul,,Antibodies/Primaries,157H00000314-B01,-20 C/Cool Pack,5,310,23,labware-plastics-other
Abnova,H00000318-A01,TEBU-BIO PORTUGALEDIFICIO D. PEDRO I,Anti NUDT2 Human,186,1,50 ul,,Antibodies/Primaries,157H00000318-A01,-20 C/Cool Pack,5,200,23,labware-plastics-other
