manufacturer,manufacturer_cat_no,vendor,description,price,quantity,unitprice,units,link,category,vendor_cat_no,special_conditions,delivery_time,listprice,vat,obs
Sarstedt AG & Co,01.1601.001,SARSTEDT LDA,"S-Monovette® blood system, Serum, 92x15,3mm, 7,5ml, PP, white screw cap,  with label, sterile.",16.4,100,0.164,UN,WWW.sarstedt.com,Blood Collection,01.1601.001,Room temperature,3 Days. No stock -15 days,0.16,21,
Sarstedt AG & Co,01.1602.001,SARSTEDT LDA,"S-Monovette® blood system, Serum-Gel, 92x15,3mm, 7,5ml, PP, brown screw cap, with label, sterile.",19,100,0.19,UN,WWW.sarstedt.com,Blood Collection,01.1602.001,Room temperature,3 Days. No stock -15 days,0.19,21,
Sarstedt AG & Co,01.1604.001,SARSTEDT LDA,"S-Monovette® blood system, Lithium-Heparin, 92x15,3mm, 7,5ml, PP, orange screw cap, with label, sterile.",89.5,500,0.179,UN,WWW.sarstedt.com,Blood Collection,01.1604.001,Room temperature,3 Days. No stock -15 days,0.18,21,
Sarstedt AG & Co,01.1605.001,SARSTEDT LDA,"S-Monovette® blood system, EDTA, 92x15,3mm, 7,5ml, PP, red screw cap, with label, sterile.",15.9,100,0.159,UN,WWW.sarstedt.com,Blood Collection,01.1605.001,Room temperature,3 Days. No stock -15 days,0.16,21,
Sarstedt AG & Co,01.1606.001,SARSTEDT LDA,"S-Monovette® blood system, Citrat, 92x15,3mm, 8,2ml, PP, green screw cap, with label, sterile.",83.5,500,0.167,UN,WWW.sarstedt.com,Blood Collection,01.1606.001,Room temperature,3 Days. No stock -15 days,0.17,21,
Sarstedt AG & Co,02.1065.001,SARSTEDT LDA,"S-Monovette® blood system, Lithium-Heparin, 92x16,5mm, 10ml, PP, orange screw cap, with label, sterile.",104,500,0.208,UN,WWW.sarstedt.com,Blood Collection,02.1065.001,Room temperature,3 Days. No stock -15 days,0.21,21,
Sarstedt AG & Co,02.1066.001,SARSTEDT LDA,"S-Monovette® blood system, EDTA, 92x16,5mm, 10ml, PP, red screw cap, with label, sterile.",90.5,500,0.181,UN,WWW.sarstedt.com,Blood Collection,02.1066.001,Room temperature,3 Days. No stock -15 days,0.18,21,
Sarstedt AG & Co,02.1388.001,SARSTEDT LDA,"S-Monovette® blood system, Serum-Gel, 92x16,5mm, 9ml, PP, brown screw cap, with label, sterile.",128.5,500,0.257,UN,WWW.sarstedt.com,Blood Collection,02.1388.001,Room temperature,3 Days. No stock -15 days,0.26,21,
Sarstedt AG & Co,04.1931.001,SARSTEDT LDA,"S-Monovette® blood system, EDTA, 90x13mm, 4,9ml, em PP, red screw cap, with label, sterile.",36.25,250,0.145,UN,WWW.sarstedt.com,Blood Collection,04.1931.001,Room temperature,3 Days. No stock -15 days,0.15,21,
Sarstedt AG & Co,04.1935.001,SARSTEDT LDA,"S-Monovette® blood system, Serum-Gel, 90x13mm, 4,9ml, em PP, brown screw cap, with label, sterile.",91,500,0.182,UN,WWW.sarstedt.com,Blood Collection,04.1935.001,Room temperature,3 Days. No stock -15 days,0.18,21,
Sarstedt AG & Co,05.1165.001,SARSTEDT LDA,"S-Monovette® blood system, Citrat, 66x11,5mm, 3ml, em PP, green screw cap, with label, sterile.",6.85,50,0.137,UN,WWW.sarstedt.com,Blood Collection,05.1165.001,Room temperature,3 Days. No stock -15 days,0.14,21,
Sarstedt AG & Co,14.1205,SARSTEDT LDA,"S-Monovette® multi-adaptor, individually wrapped e sterile.",16.8,100,0.168,UN,WWW.sarstedt.com,Blood Collection,14.1205,Room temperature,3 Days. No stock -15 days,0.17,21,
Sarstedt AG & Co,14.1218,SARSTEDT LDA,Haemo-Diff with smear edge.,56.5,500,0.113,UN,WWW.sarstedt.com,Blood Collection,14.1218,Room temperature,3 Days. No stock -15 days,0.11,21,
Sarstedt AG & Co,15.1671,SARSTEDT LDA,Multivette® 600 EDTA.,18.6,100,0.186,UN,WWW.sarstedt.com,Blood Collection,15.1671,Room temperature,3 Days. No stock -15 days,0.19,21,
SARSTEDT Sp. z o. o.,85.1016,SARSTEDT LDA,"Safety-Lancet, 21G, 1,8mm penetration depth, green.",84,1200,0.07,UN,WWW.sarstedt.com,Blood Collection,85.1016,Room temperature,3 Days. No stock -15 days,0.09,21,
Sarstedt AG & Co,85.1372,SARSTEDT LDA,"S-Monovette® needle, 20 G 1” (0,9x25mm).",13.5,100,0.135,UN,WWW.sarstedt.com,Blood Collection,85.1372,Room temperature,3 Days. No stock -15 days,0.14,21,
